Roll No.,Calculus-1,Percentile ,Calculus-2,Percentile ,Python-1,Percentile ,Python-2,Percentile ,SM-1,Percentile ,SM-2,Percentile ,Overall Performance(marks),Overall Performance(percentile)
JAN0001,58,14.5,39.5,50,40,27,47,16.6,68,60.4,70,50,53.75,36.41666667
JAN0002,91.5,79.1,39.5,50,67,81.2,68.5,72.9,85,95.8,89,93.7,73.41666667,78.78333333
JAN0003,91.5,79.1,33,39.5,60,70.8,74.5,87.5,78,87.5,84,87.5,70.16666667,75.31666667
JAN0004,51.5,4.1,17,4.1,27,0,45,10.4,62,37.5,50.5,4.1,42.16666667,10.03333333
JAN0005,72.5,45.8,27,25,35,2,45.5,12.5,67,47.9,74,60.4,53.5,32.26666667
JAN0006,69,35.4,31,29.1,41,43.7,52,41.6,55,6.2,62.5,35.4,51.75,31.9
JAN0007,67,31.2,46,66.6,40,27,66,64.5,55,6.2,53,8.3,54.5,33.96666667
JAN0008,92.5,83.3,76.5,89.5,60,70.8,71.5,83.3,62,37.5,54.5,12.5,69.5,62.81666667
JAN0009,76,54.1,37,43.7,35,2,48,25,70,68.7,76.5,75,57.08333333,44.75
JAN0010,91,77,86.5,97.9,81,97.9,86.5,100,86,97.9,85,89.5,86,93.36666667
JAN0011,55,10.4,20,10.4,36,20.8,56,52,57,14.5,70,50,49,26.35
JAN0012,66.5,29.1,24,20.8,36,20.8,50,33.3,60,22.9,56.5,22.9,48.83333333,24.96666667
JAN0013,93,87.5,36,41.6,55,62.5,55,45.8,60,22.9,65,45.8,60.66666667,51.01666667
JAN0014,70.5,41.6,10,0,37,25,28.5,0,67,47.9,57,25,45,23.25
JAN0015,76,54.1,38,47.9,92,100,69,75,76,81.2,80,81.2,71.83333333,73.23333333
JAN0016,71.5,43.7,22,18.7,40,27,46.5,14.5,60,22.9,55.5,16.6,49.25,23.9
JAN0017,60.5,22.9,20,10.4,35,2,68,70.8,69,64.5,70.5,54.1,53.83333333,37.45
JAN0018,98,100,81.5,95.8,80,93.7,55,45.8,75,75,76,70.8,77.58333333,80.18333333
JAN0019,75,50,21,16.6,61,77,47.5,20.8,60,22.9,64.5,43.7,54.83333333,38.5
JAN0020,60,20.8,26,22.9,45,54.1,41,4.1,61,31.2,73,56.2,51,31.55
JAN0021,93,87.5,75,87.5,35,2,73.5,85.4,67,47.9,78,79.1,70.25,64.9
JAN0022,40.5,2,15,2,41,43.7,51.5,39.5,65,41.6,56,18.7,44.83333333,24.58333333
JAN0023,62,25,31,29.1,65,79.1,66,64.5,70,68.7,64,39.5,59.66666667,50.98333333
JAN0024,68,33.3,31,29.1,40,27,44.5,6.2,40,0,50,2,45.58333333,16.26666667
JAN0025,69,35.4,30,27,40,27,57,54.1,55,6.2,5,0,42.66666667,24.95
JAN0026,84.5,64.5,31,29.1,55,62.5,48,25,66,43.7,65.5,47.9,58.33333333,45.45
JAN0027,84,62.5,37.5,45.8,40,27,70,79.1,59,18.7,64,39.5,59.08333333,45.43333333
JAN0028,69,35.4,40.5,54.1,50,56.2,48.5,29.1,67,47.9,75.5,64.5,58.41666667,47.86666667
JAN0029,86.5,68.7,48.5,75,41,43.7,55,45.8,69,64.5,73.5,58.3,62.25,59.33333333
JAN0030,76.5,58.3,45.5,64.5,60,70.8,58,56.2,71,72.9,75.5,64.5,64.41666667,64.53333333
JAN0031,57.5,12.5,41.5,58.3,35,2,47,16.6,52,4.1,52.5,6.2,47.58333333,16.61666667
JAN0032,75.5,52,47.5,70.8,50,56.2,77.5,91.6,80,93.7,76,70.8,67.75,72.51666667
JAN0033,88,70.8,45,60.4,80,93.7,77,89.5,75,75,77,77,73.66666667,77.73333333
JAN0034,88,70.8,61,81.2,35,2,48.5,29.1,66,43.7,57,25,59.25,41.96666667
JAN0035,86,66.6,45,60.4,35,2,69,75,79,91.6,81,85.4,65.83333333,63.5
JAN0036,94,93.7,46.5,68.7,35,2,53.5,43.7,78,87.5,90,100,66.16666667,65.93333333
JAN0037,93,87.5,65,83.3,55,62.5,82.5,97.9,88,100,89,93.7,78.75,87.48333333
JAN0038,59.5,18.7,49.5,77,40,27,44.5,6.2,48,2,53.5,10.4,49.16666667,23.55
JAN0039,92.5,83.3,48,72.9,55,62.5,70.5,81.2,68,60.4,75,62.5,68.16666667,70.46666667
JAN0040,62,25,41,56.2,67,81.2,67.5,68.7,67,47.9,60,29.1,60.75,51.35
JAN0041,95,95.8,88.5,100,73,87.5,80.5,93.7,75,75,85.5,91.6,82.91666667,90.6
JAN0042,97.5,97.9,79,91.6,74,89.5,64.5,62.5,77,85.4,89,93.7,80.16666667,86.76666667
JAN0043,54.5,6.2,17,4.1,50,56.2,51,37.5,58,16.6,63.5,37.5,49,26.35
JAN0044,54.5,6.2,17,4.1,35,2,58,56.2,61,31.2,55,14.5,46.75,19.03333333
JAN0045,82.5,60.4,65.5,85.4,71,85.4,80.5,93.7,76,81.2,75.5,64.5,75.16666667,78.43333333
JAN0046,89,75,79.5,93.7,74,89.5,63.5,60.4,67,47.9,80,81.2,75.5,74.61666667
JAN0047,58,14.5,20,10.4,43,52,47.5,20.8,61,31.2,61,33.3,48.41666667,27.03333333
JAN0048,38,0,31,29.1,40,27,50,33.3,59,18.7,60.5,31.2,46.41666667,23.21666667
JAN0049,73,47.9,50,79.1,41,43.7,40.5,2,55,6.2,56,18.7,52.58333333,32.93333333
